image_path,label,class_name
train\pothole\train_pothole_0093.jpg,1,pothole
train\pothole\train_pothole_0094.jpg,1,pothole
train\pothole\train_pothole_0097.jpg,1,pothole
train\pothole\train_pothole_0099.jpg,1,pothole
train\pothole\train_pothole_0100.jpg,1,pothole
train\pothole\train_pothole_0101.jpg,1,pothole
train\pothole\train_pothole_0103.jpg,1,pothole
train\pothole\train_pothole_0105.jpg,1,pothole
train\pothole\train_pothole_0106.jpg,1,pothole
train\pothole\train_pothole_0108.jpg,1,pothole
train\pothole\train_pothole_0110.jpg,1,pothole
train\pothole\train_pothole_0112.jpg,1,pothole
train\pothole\train_pothole_0114.jpg,1,pothole
train\pothole\train_pothole_0119.jpg,1,pothole
train\pothole\train_pothole_0121.jpg,1,pothole
train\pothole\train_pothole_0124.jpg,1,pothole
train\pothole\train_pothole_0128.jpg,1,pothole
train\pothole\train_pothole_0129.jpg,1,pothole
train\pothole\train_pothole_0130.jpg,1,pothole
train\pothole\train_pothole_0131.jpg,1,pothole
train\pothole\train_pothole_0132.jpg,1,pothole
train\pothole\train_pothole_0134.jpg,1,pothole
train\pothole\train_pothole_0135.jpg,1,pothole
train\pothole\train_pothole_0137.jpg,1,pothole
train\pothole\train_pothole_0139.jpg,1,pothole
train\no_pothole\train_no_pothole_0000.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0001.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0002.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0005.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0008.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0011.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0012.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0014.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0016.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0018.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0021.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0023.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0024.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0028.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0031.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0032.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0033.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0037.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0039.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0041.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0042.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0043.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0044.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0049.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0050.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0052.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0054.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0056.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0057.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0058.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0059.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0064.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0065.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0066.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0067.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0071.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0073.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0076.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0077.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0078.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0079.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0080.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0081.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0082.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0083.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0084.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0087.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0090.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0092.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0095.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0096.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0098.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0102.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0104.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0107.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0109.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0111.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0113.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0115.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0116.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0117.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0118.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0120.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0122.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0123.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0125.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0126.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0127.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0133.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0136.jpg,0,no_pothole
train\no_pothole\train_no_pothole_0138.jpg,0,no_pothole
